customer_id,recency_days,frequency,monetary_avg,tenure_days,purchase_rhythm,recent_activity,churned,region
C0001,64,10,189.358,443,49.22222222222222,2,0,North
C0002,39,6,83.01333333333334,379,75.8,2,1,East
C0003,71,8,68.26249999999999,449,64.14285714285714,1,0,West
C0004,7,15,113.68733333333333,340,24.285714285714285,4,0,North
C0005,73,7,127.41999999999999,426,71.0,1,1,North
C0006,49,16,127.62375,409,27.266666666666666,4,1,East
C0007,9,5,198.46800000000002,409,102.25,1,0,East
C0008,19,11,88.69909090909091,367,36.7,1,0,South
C0009,14,9,131.79444444444445,397,49.625,3,0,North
C0010,4,6,110.42833333333334,406,81.2,3,0,South
C0011,8,8,114.735,442,63.142857142857146,1,0,North
C0012,13,12,53.69916666666666,347,31.545454545454547,6,0,North
C0013,0,10,88.682,411,45.666666666666664,2,0,West
C0014,39,11,95.89181818181818,446,44.6,1,1,North
C0015,52,11,66.22454545454546,402,40.2,1,1,South
C0016,90,10,145.796,362,40.22222222222222,2,1,South
C0017,3,12,117.72250000000001,441,40.09090909090909,2,0,West
C0018,23,6,137.52166666666668,449,89.8,1,0,South
C0019,4,8,106.37625,400,57.142857142857146,5,0,East
C0020,201,2,59.93,234,234.0,0,0,West
C0021,6,7,75.93714285714285,378,63.0,3,0,South
C0022,0,10,102.083,361,40.111111111111114,1,0,South
C0023,11,13,71.99076923076923,415,34.583333333333336,3,0,East
C0024,5,13,104.04230769230769,431,35.916666666666664,4,1,West
C0025,5,7,170.53142857142856,378,63.0,2,0,East
C0026,11,9,81.8488888888889,447,55.875,3,0,West
C0027,101,6,73.03833333333334,416,83.2,0,0,West
C0028,106,5,77.51,358,89.5,0,0,North
C0029,98,11,69.98454545454545,394,39.4,0,1,South
C0030,7,14,95.01428571428572,410,31.53846153846154,3,1,South
C0031,2,9,114.12666666666668,387,48.375,3,0,North
C0032,3,14,91.785,431,33.15384615384615,3,0,East
C0033,5,9,97.94666666666666,438,54.75,5,0,North
C0034,16,15,115.75866666666666,438,31.285714285714285,3,0,South
C0035,18,7,86.02142857142857,397,66.16666666666667,3,0,South
C0036,29,8,118.32625,438,62.57142857142857,2,1,North
C0037,14,14,122.41142857142857,392,30.153846153846153,3,1,North
C0038,77,10,82.188,425,47.22222222222222,2,1,North
C0039,12,13,71.73384615384614,407,33.916666666666664,3,0,South
C0040,18,12,73.88,328,29.818181818181817,3,0,North
C0041,0,9,64.83888888888889,424,53.0,2,0,North
C0042,8,13,64.18307692307692,388,32.333333333333336,5,0,East
C0043,8,11,156.0981818181818,446,44.6,1,0,North
C0044,31,7,131.02857142857144,441,73.5,1,1,South
C0045,81,8,188.46125,428,61.142857142857146,2,0,East
C0046,16,14,68.26071428571429,419,32.23076923076923,2,0,West
C0047,2,13,160.1676923076923,443,36.916666666666664,3,0,South
C0048,7,14,99.43857142857142,423,32.53846153846154,5,0,South
C0049,21,16,115.193125,408,27.2,3,1,West
