id,competitor,product_name,price,scraped_at
1,gymshark,Geo Seamless Long Sleeve T-Shirt,40.0,2026-08-25 23:37:55
2,gymshark,Geo Seamless Tank,32.0,2026-08-25 23:37:55
3,gymshark,Conditioning Club Oversized T-Shirt,36.0,2026-08-25 23:37:55
4,gymshark,Washed Pastels T-Shirt,36.0,2026-08-25 23:37:55
5,gymshark,Crest Oversized T-Shirt,26.0,2026-08-25 23:37:55
6,gymshark,Crest Oversized T-Shirt,26.0,2026-08-25 23:37:55
7,gymshark,Power T-Shirt,36.0,2026-08-25 23:37:55
8,gymshark,Power T-Shirt,36.0,2026-08-25 23:37:55
9,gymshark,Shadow Seamless T Shirt,44.0,2026-08-25 23:37:55
10,gymshark,Arrival Oversized T-Shirt,26.0,2026-08-25 23:37:55
11,gymshark,Conditioning Club Tank,30.0,2026-08-25 23:37:55
12,gymshark,Faded Collegiate Graphic T-Shirt,32.0,2026-08-25 23:37:55
13,gymshark,Train T-Shirt,28.0,2026-08-25 23:37:55
14,gymshark,Distance Seamless T-Shirt,50.0,2026-08-25 23:37:55
15,gymshark,Cotton Seamless T-Shirt,32.0,2026-08-25 23:37:55
16,gymshark,Campus Crest T-Shirt,28.0,2026-08-25 23:37:55
17,gymshark,Cotton Seamless T-Shirt,32.0,2026-08-25 23:37:55
18,gymshark,Cotton Seamless Sleeveless Top,30.0,2026-08-25 23:37:55
19,gymshark,Cotton Seamless T-Shirt,32.0,2026-08-25 23:37:55
20,gymshark,Conditioning Club Tank,30.0,2026-08-25 23:37:55
21,gymshark,Cotton Seamless Sleeveless Top,30.0,2026-08-25 23:37:55
22,gymshark,Train T-Shirt,28.0,2026-08-25 23:37:55
23,gymshark,Faded Collegiate Graphic T-Shirt,32.0,2026-08-25 23:37:55
24,gymshark,Cotton Seamless Sleeveless Top,30.0,2026-08-25 23:37:55
25,gymshark,Devant Seamless T-Shirt,38.0,2026-08-25 23:37:55
26,gymshark,Train T-Shirt,28.0,2026-08-25 23:37:56
27,gymshark,Arrival Oversized T-Shirt,26.0,2026-08-25 23:37:56
28,gymshark,Cotton Seamless Sleeveless Top,30.0,2026-08-25 23:37:56
